GCC_PERF tests 1.0
Written by Larry Bank
running ARM NEON tests 0-8, 32-bit word size
Multiply Complex C (bigger than cache) = 2033ms
Multiply Complex SIMD (bigger than cache) = 1314ms
Multiply Complex ASM (bigger than cache) = 1328ms
Multiply Complex C (smaller than cache) = 1591ms
Multiply Complex SIMD (smaller than cache) = 574ms
Multiply Complex ASM (smaller than cache) = 443ms
Integer Sum C (bigger than cache) = 1318ms
Integer Sum SIMD (bigger than cache) = 1304ms
Integer Sum ASM (bigger than cache) = 1520ms
Integer Sum C (smaller than cache) = 938ms
Integer Sum SIMD (smaller than cache) = 852ms
Integer Sum ASM (smaller than cache) = 595ms
Float Sum C (bigger than cache) = 2030ms
Float Sum SIMD (bigger than cache) = 1317ms
Float Sum ASM (bigger than cache) = 1327ms
Float Sum C (smaller than cache) = 1589ms
Float Sum SIMD (smaller than cache) = 426ms
Float Sum ASM (smaller than cache) = 414ms
Integer Difference C (bigger than cache) = 1319ms
Integer Difference SIMD (bigger than cache) = 1306ms
Integer Difference ASM (bigger than cache) = 1306ms
Integer Difference C (smaller than cache) = 469ms
Integer Difference SIMD (smaller than cache) = 426ms
Integer Difference ASM (smaller than cache) = 434ms
Float Difference C (bigger than cache) = 2556ms
Float Difference SIMD (bigger than cache) = 1585ms
Float Difference ASM (bigger than cache) = 1413ms
Float Difference C (smaller than cache) = 1590ms
Float Difference SIMD (smaller than cache) = 426ms
Float Difference ASM (smaller than cache) = 456ms
Integer Max C (bigger than cache) = 417ms
Integer Max SIMD (bigger than cache) = 355ms
Integer Max ASM (bigger than cache) = 353ms
Integer Max C (smaller than cache) = 253ms
Integer Max SIMD (smaller than cache) = 183ms
Integer Max ASM (smaller than cache) = 193ms
Float Max C (bigger than cache) = 1122ms
Float Max SIMD (bigger than cache) = 356ms
Float Max ASM (bigger than cache) = 354ms
Float Max C (smaller than cache) = 1066ms
Float Max SIMD (smaller than cache) = 190ms
Float Max ASM (smaller than cache) = 198ms
Integer Accumulate C (bigger than cache) = 383ms
Integer Accumulate SIMD (bigger than cache) = 381ms
Integer Accumulate ASM (bigger than cache) = 379ms
Integer Accumulate C (smaller than cache) = 214ms
Integer Accumulate SIMD (smaller than cache) = 186ms
Integer Accumulate ASM (smaller than cache) = 197ms
Float Accumulate C (bigger than cache) = 952ms
Float Accumulate SIMD (bigger than cache) = 389ms
Float Accumulate ASM (bigger than cache) = 381ms
Float Accumulate C (smaller than cache) = 891ms
Float Accumulate SIMD (smaller than cache) = 219ms
Float Accumulate ASM (smaller than cache) = 198ms
