GCC_PERF tests 1.0
Written by Larry Bank
running ARM NEON tests 0-8, 64-bit word size
Multiply Complex C (bigger than cache) = 1233ms
Multiply Complex SIMD (bigger than cache) = 1193ms
Multiply Complex ASM (bigger than cache) = 1166ms
Multiply Complex C (smaller than cache) = 612ms
Multiply Complex SIMD (smaller than cache) = 494ms
Multiply Complex ASM (smaller than cache) = 414ms
Integer Sum C (bigger than cache) = 1220ms
Integer Sum SIMD (bigger than cache) = 1194ms
Integer Sum ASM (bigger than cache) = 1197ms
Integer Sum C (smaller than cache) = 423ms
Integer Sum SIMD (smaller than cache) = 301ms
Integer Sum ASM (smaller than cache) = 318ms
Float Sum C (bigger than cache) = 1189ms
Float Sum SIMD (bigger than cache) = 1142ms
Float Sum ASM (bigger than cache) = 1148ms
Float Sum C (smaller than cache) = 522ms
Float Sum SIMD (smaller than cache) = 403ms
Float Sum ASM (smaller than cache) = 318ms
Integer Difference C (bigger than cache) = 1221ms
Integer Difference SIMD (bigger than cache) = 1196ms
Integer Difference ASM (bigger than cache) = 1198ms
Integer Difference C (smaller than cache) = 423ms
Integer Difference SIMD (smaller than cache) = 302ms
Integer Difference ASM (smaller than cache) = 319ms
Float Difference C (bigger than cache) = 1189ms
Float Difference SIMD (bigger than cache) = 1145ms
Float Difference ASM (bigger than cache) = 1146ms
Float Difference C (smaller than cache) = 511ms
Float Difference SIMD (smaller than cache) = 303ms
Float Difference ASM (smaller than cache) = 319ms
Integer Max C (bigger than cache) = 413ms
Integer Max SIMD (bigger than cache) = 292ms
Integer Max ASM (bigger than cache) = 187ms
Integer Max C (smaller than cache) = 379ms
Integer Max SIMD (smaller than cache) = 163ms
Integer Max ASM (smaller than cache) = 172ms
Float Max C (bigger than cache) = 916ms
Float Max SIMD (bigger than cache) = 292ms
Float Max ASM (bigger than cache) = 189ms
Float Max C (smaller than cache) = 888ms
Float Max SIMD (smaller than cache) = 169ms
Float Max ASM (smaller than cache) = 176ms
Integer Accumulate C (bigger than cache) = 360ms
Integer Accumulate SIMD (bigger than cache) = 292ms
Integer Accumulate ASM (bigger than cache) = 295ms
Integer Accumulate C (smaller than cache) = 337ms
Integer Accumulate SIMD (smaller than cache) = 177ms
Integer Accumulate ASM (smaller than cache) = 182ms
Float Accumulate C (bigger than cache) = 752ms
Float Accumulate SIMD (bigger than cache) = 302ms
Float Accumulate ASM (bigger than cache) = 320ms
Float Accumulate C (smaller than cache) = 713ms
Float Accumulate SIMD (smaller than cache) = 219ms
Float Accumulate ASM (smaller than cache) = 248ms
